,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7253477560379465,0.6533859303676727,0.5879128323758881,0.6713377399857683,0.6942426301185095
Brier Score 0.25 quantile,0.22320286838612263,0.23369633066847295,0.2578938732523381,0.25517132254946223,0.24576564618018362
ROC AUC 0.25 quantile,0.7477635434826582,0.6660257004231835,0.5991615709239653,0.6868343575736358,0.7082893058339392
C-Index 0.5 quantile,0.6886299640971707,0.6511998252960558,0.6569104447912386,0.6852027279835806,0.6784125534912413
Brier Score 0.5 quantile,0.18213233931400474,0.18804806071653318,0.20071620575668464,0.1867950907565188,0.1900521470770924
ROC AUC 0.5 quantile,0.7085396538309734,0.6576307869797282,0.6863285518345705,0.7201766144334611,0.6802118633121503
C-Index 0.75 quantile,0.6394010171732789,0.6383212396180015,0.636941944437165,0.6534831761020551,0.648217804158621
Brier Score 0.75 quantile,0.35180929698100794,0.3152931360233349,0.3412404436551246,0.3155546687987532,0.3411248521262307
ROC AUC 0.75 quantile,0.6421399948860327,0.6543528832126272,0.6619328580179084,0.6899267960975058,0.6594138980957853
