,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.9410022556725416,0.9086302431601463,0.9182274680251808,0.9229102981750341,0.9030736980778815
Brier Score 0.25 quantile,0.04554702801543927,0.04578465225603493,0.04844098255311065,0.04671414313355435,0.05138770661116393
ROC AUC 0.25 quantile,0.9535493965238121,0.918896867133006,0.9308306598820573,0.9383255593334443,0.9170381156954749
C-Index 0.5 quantile,0.9081528429300741,0.8822080654689183,0.8968261954957463,0.9029885594126746,0.8746381716559163
Brier Score 0.5 quantile,0.08663709734572338,0.08768321382565042,0.0780627633076636,0.0843327470221842,0.09932291482583337
ROC AUC 0.5 quantile,0.9276837428293017,0.902897860771962,0.9240149541435412,0.9284309607037858,0.9115361136226858
C-Index 0.75 quantile,0.8756858985203057,0.8571075248874799,0.8771594424150131,0.8864462061129824,0.8644641945692608
Brier Score 0.75 quantile,0.10100010493780395,0.09772231126717441,0.09196386601488281,0.07665811447064382,0.08787715346247553
ROC AUC 0.75 quantile,0.914117386673993,0.8978702161790391,0.9265201958928128,0.9385391750068117,0.9279761827639409
