,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.5675428351486206,0.7859629729421114,0.5489240955364654,0.6528057518461378,0.7820291097651112
Brier Score 0.25 quantile,0.07205092262883048,0.06377028556362768,0.07153654630728211,0.07518368740521206,0.058434936832194105
ROC AUC 0.25 quantile,0.5681872436652573,0.7950802188145912,0.5464713627639433,0.6575330657942549,0.7919204529196084
C-Index 0.5 quantile,0.5436227092382329,0.7768690285316214,0.4987005393452914,0.6089209969494785,0.8056691188609164
Brier Score 0.5 quantile,0.1390014237018024,0.10751317657647007,0.1223526195905641,0.1339106134602756,0.10911722373006338
ROC AUC 0.5 quantile,0.5429058017962075,0.799315488665752,0.4934184931561594,0.6104165315460082,0.8287018160882805
C-Index 0.75 quantile,0.5146023912503667,0.7809033660616546,0.4838778907684357,0.5933943092852862,0.7866041393062954
Brier Score 0.75 quantile,0.1862246416651537,0.13444199928680284,0.1753109350949542,0.17589628687406425,0.15549183676680925
ROC AUC 0.75 quantile,0.4979089039529854,0.8162904038160597,0.4635524812556615,0.5926245522047409,0.8157046500722573
