,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6236300523368905,0.6725952882426878,0.6119034558420187,0.6104098617255657,0.6696378526978835
Brier Score 0.25 quantile,0.14077851792990106,0.13605467993872647,0.1419393004495388,0.1650968540294977,0.13754326182175686
ROC AUC 0.25 quantile,0.6302576112412177,0.6719876011980277,0.6201731278399942,0.6084414300077468,0.6746122818374907
C-Index 0.5 quantile,0.5793384756520769,0.6340862191528079,0.5856842286057795,0.5881840807255908,0.6387075654509888
Brier Score 0.5 quantile,0.24351086059962335,0.2090921913389064,0.22297219177209576,0.2296653490992218,0.20748874701673992
ROC AUC 0.5 quantile,0.5837311783395497,0.6542147636882772,0.5996839342308111,0.5993951530623016,0.659317544960714
C-Index 0.75 quantile,0.5764327650267025,0.6174641657025465,0.5715631699560731,0.5827633735244311,0.6211177266712282
Brier Score 0.75 quantile,0.26272667723181836,0.23155280438914214,0.25392014726839013,0.2558448130347547,0.22754616715857107
ROC AUC 0.75 quantile,0.6139026559918668,0.663534269199009,0.6097758303168856,0.6213043284843631,0.6753889872593316
