,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.802199570846468,0.7756282570474006,0.7898424166395324,0.7974486566578074,0.7644886811965468
Brier Score 0.25 quantile,0.05866966908821296,0.06531207496352283,0.059837695897420516,0.0591080229689628,0.05474956714542384
ROC AUC 0.25 quantile,0.8152303471317113,0.785246302216245,0.8011185321830957,0.8095038309132256,0.7737376048768669
C-Index 0.5 quantile,0.8008918301261801,0.7555256371029113,0.7643447334666299,0.7839104210495458,0.7667736228356896
Brier Score 0.5 quantile,0.10301028715274753,0.10662812809153939,0.09737924626115144,0.10293843842439739,0.10001022840327924
ROC AUC 0.5 quantile,0.8248116855043086,0.7767405731109299,0.7814667214064798,0.804537120828177,0.7861251466657638
C-Index 0.75 quantile,0.8033946791673915,0.7564823080495804,0.75858819102011,0.7805588542063805,0.7311755917926196
Brier Score 0.75 quantile,0.12165033264375309,0.13288365081047887,0.13057953491183727,0.12620399139133934,0.14667028026872583
ROC AUC 0.75 quantile,0.8426185702483298,0.7864627346280744,0.7861259547709748,0.8138644399914708,0.7492089164297973
