,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.9255457930125086,0.9103474391899573,0.9036950738859798,0.9032399456030726,0.9173624094921424
Brier Score 0.25 quantile,0.05404515386064998,0.0481489465169786,0.05406734723517515,0.05661544408560447,0.049043644368087204
ROC AUC 0.25 quantile,0.9440454297160821,0.9247466514847652,0.915807925096266,0.9219382086512309,0.9292968038036922
C-Index 0.5 quantile,0.8884293511456328,0.8835141883852331,0.8517782201572114,0.8687514450331387,0.8671446089872041
Brier Score 0.5 quantile,0.0909870946311847,0.08949101282337485,0.0970990711762998,0.09701506015157027,0.0986649824311253
ROC AUC 0.5 quantile,0.9162203467664833,0.9081805155279519,0.8813571576446939,0.8989746358935149,0.894075210542828
C-Index 0.75 quantile,0.8479523323361273,0.8369627995470638,0.8254479929166826,0.8531488020137095,0.82915173605944
Brier Score 0.75 quantile,0.1251109618445533,0.11899984736149198,0.11235118303399669,0.10925595221266451,0.13006087878024516
ROC AUC 0.75 quantile,0.8852471817658707,0.8802136738303854,0.8901533018757138,0.9115030415774583,0.8682947766697499
