,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6981115860911369,0.617761295149629,0.6118584619176796,0.6518989780428831,0.6883676172429385
Brier Score 0.25 quantile,0.12164695458082334,0.12176694942705171,0.13235217530751414,0.12143018517440358,0.10629165925133763
ROC AUC 0.25 quantile,0.7201931547944261,0.6244848504274274,0.6272866608027806,0.6694141377030451,0.6987902630620145
C-Index 0.5 quantile,0.6495124730923905,0.6128687905072757,0.6326272541387249,0.6641738588880108,0.6646101897006494
Brier Score 0.5 quantile,0.18865158512045171,0.19716509354173822,0.20334193880112292,0.1862378517950238,0.1902582445405241
ROC AUC 0.5 quantile,0.6637724803922912,0.6210970573040038,0.6618632713782155,0.7105708104237287,0.6836847622296
C-Index 0.75 quantile,0.6514432640720972,0.6299947074129119,0.6306445438483066,0.6609342474030322,0.6531655639113656
Brier Score 0.75 quantile,0.22691708745377023,0.2257463639313778,0.22249007709632992,0.21890018350690826,0.22728680845311214
ROC AUC 0.75 quantile,0.701233963793682,0.6793199787787572,0.6753494214589606,0.7131432680595325,0.6880319186886268
