,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.9348122391326911,0.9122173214476765,0.934347972378673,0.8959261351585849,0.9150818656504627
Brier Score 0.25 quantile,0.16775624731618402,0.141078709764347,0.145370000265485,0.13912542227628297,0.16133340941337612
ROC AUC 0.25 quantile,0.9530337988131623,0.9238976674246823,0.9501920933693246,0.919606008842089,0.9272382006032694
C-Index 0.5 quantile,0.9222119054098681,0.8951585927229443,0.906636402563054,0.8894753212952717,0.8866771313108014
Brier Score 0.5 quantile,0.07582923150541501,0.08305660381945185,0.07610050548298765,0.08608015524048025,0.08970333799816375
ROC AUC 0.5 quantile,0.9467196424011852,0.916275481782773,0.9341953834820286,0.9228083425391334,0.9200481474256375
C-Index 0.75 quantile,0.8517983176592182,0.839607603817256,0.8650433908277092,0.8839678731959193,0.8635553079277043
Brier Score 0.75 quantile,0.18834518347259674,0.22002703505594054,0.19920378438205968,0.19442928288586817,0.21275190146097736
ROC AUC 0.75 quantile,0.8873394899752056,0.8815690072549561,0.9097674654352306,0.9388091307571743,0.9171867987265172
