,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7960627476280872,0.7863084700761361,0.8054075432270699,0.8090189257965963,0.7910625909945882
Brier Score 0.25 quantile,0.10550936035202484,0.09786295923929732,0.09534170428108184,0.10559398540300236,0.09907354327634825
ROC AUC 0.25 quantile,0.8091161688137051,0.7950153177854822,0.8186672895572893,0.8220965271208681,0.8024729387347047
C-Index 0.5 quantile,0.8025320783544594,0.7669800702104176,0.7903840765767324,0.7993177318658894,0.8221232578486739
Brier Score 0.5 quantile,0.10152144638731052,0.10235568872337436,0.09432947639052122,0.10042772974024328,0.09094319108873038
ROC AUC 0.5 quantile,0.8275975160769691,0.7878623950740333,0.8102634073589483,0.820909936773446,0.8476873007917121
C-Index 0.75 quantile,0.7885741138620409,0.7524510502708757,0.7815292734526152,0.7864208508408222,0.7788115434753027
Brier Score 0.75 quantile,0.1748630854874187,0.16851735250856875,0.16702686972776948,0.16358278199616438,0.1713582403524459
ROC AUC 0.75 quantile,0.8242756007463262,0.7834859994266741,0.8134819646357534,0.8201601379055978,0.8067959765990023
