,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6019387217762302,0.6125242042327683,0.5613678227405546,0.592943928269768,0.6074071944927495
Brier Score 0.25 quantile,0.13968707696906527,0.14204505910153525,0.14358688657261495,0.15173761904091038,0.14315264441508582
ROC AUC 0.25 quantile,0.607498605999777,0.6121450712146379,0.5645953343590111,0.5959766610077302,0.6120718212306953
C-Index 0.5 quantile,0.5997519338431863,0.60049277289427,0.5732610105919393,0.586615595866156,0.6051983073681223
Brier Score 0.5 quantile,0.2223788506704329,0.21571312164819748,0.22282948418249682,0.2200570157281953,0.21354208908457312
ROC AUC 0.5 quantile,0.617662660588479,0.6231169998265237,0.5935961579239952,0.6049187087404464,0.6263760034952446
C-Index 0.75 quantile,0.6156439204982457,0.611796645698796,0.586191462686517,0.6003105067596707,0.6213460833895164
Brier Score 0.75 quantile,0.22696591542806555,0.2318097751715057,0.24278025417557364,0.23358296804832576,0.2265893103846432
ROC AUC 0.75 quantile,0.6758533485830474,0.6637299117067903,0.6296780339112211,0.6485913837041556,0.6785321773110269
