,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6174957818830534,0.640979039983694,0.5972559875862039,0.6170548313359047,0.6304738362484011
Brier Score 0.25 quantile,0.26442737492586854,0.25517586596291736,0.25959505285439316,0.2619655521648409,0.25419792464149593
ROC AUC 0.25 quantile,0.6250652392104383,0.6430418045401239,0.6002786325092132,0.6250329646783472,0.6353446540036244
C-Index 0.5 quantile,0.6251409466800077,0.6426671850520954,0.6277688225388857,0.6277338386210883,0.643773557262533
Brier Score 0.5 quantile,0.21690641621244333,0.20639402474290158,0.20999908130389203,0.2115724056594912,0.2072397425588141
ROC AUC 0.5 quantile,0.6369622876087857,0.6644299596454257,0.6452670368905777,0.6475971477343571,0.6615931541024295
C-Index 0.75 quantile,0.5952608766014384,0.6124353927834136,0.6115314949157865,0.6060278960775891,0.6161189730137566
Brier Score 0.75 quantile,0.35481896316736844,0.35416540448663286,0.3506057456951476,0.3453036065996858,0.3521996062256572
ROC AUC 0.75 quantile,0.5957936205362816,0.6218103283999238,0.6298977583031689,0.6170737132434717,0.6316501811372981
