,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6450957002074131,0.6277898563032918,0.6258124142229318,0.6344242896773596,0.6527993068715392
Brier Score 0.25 quantile,0.1358258647086492,0.1422126081895902,0.13768936020337788,0.1492488322525767,0.14070715995623648
ROC AUC 0.25 quantile,0.65555481208877,0.6308500852308645,0.6408458263265233,0.6405366649634916,0.6600118215338115
C-Index 0.5 quantile,0.6142199052838311,0.6255351601051801,0.6170120913132635,0.6086376201488762,0.6241002027083483
Brier Score 0.5 quantile,0.22262203949887996,0.21345697504302324,0.21172618059342657,0.21699289618780843,0.2141213646563424
ROC AUC 0.5 quantile,0.6278781599668461,0.6439981457940522,0.6367450097140794,0.6277925619869602,0.6444314463851402
C-Index 0.75 quantile,0.6115713992555678,0.6104923626610053,0.5972785665280814,0.6016939527185994,0.6171018270210405
Brier Score 0.75 quantile,0.2297261463039312,0.24093886788351507,0.24001025428921238,0.23502799791866164,0.2301282220262912
ROC AUC 0.75 quantile,0.6669437031388995,0.6577818713078829,0.6562951673334603,0.6472542627086869,0.6674693185981194
