,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.929065211669378,0.9076396973259732,0.9056992935292304,0.9017703038391528,0.5
Brier Score 0.25 quantile,0.04791317629950409,0.04655131846444707,0.055379582061220387,0.05685409290186411,0.8924455167651573
ROC AUC 0.25 quantile,0.9418659724898951,0.9190087785992698,0.922540162185019,0.9172089046677334,0.5
C-Index 0.5 quantile,0.9030137530559056,0.8823696875671688,0.9095174865243073,0.889950473668943,0.5
Brier Score 0.5 quantile,0.08385619827455211,0.0907362698302869,0.07563229782118068,0.094697267610158,0.7456014335589214
ROC AUC 0.5 quantile,0.9241021399850748,0.9063756259920759,0.9379540050239057,0.9128657243324882,0.5
C-Index 0.75 quantile,0.8689875112524356,0.5,0.5,0.8677544121909849,0.5
Brier Score 0.75 quantile,0.10452419515580345,0.5728102280816452,0.5610951324076601,0.10382000578288217,0.5580914271360085
ROC AUC 0.75 quantile,0.9033987727911827,0.5,0.5,0.9131884662837452,0.5
