,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7134800852997973,0.65548584008379,0.5730550229047633,0.6366762422482554,0.6416147378627237
Brier Score 0.25 quantile,0.12289197270067341,0.11702930378908198,0.13588487177831304,0.11870329931884688,0.11174227830420037
ROC AUC 0.25 quantile,0.7357880740417159,0.6660094933339564,0.5842820297629115,0.6525560620810053,0.6536375438628997
C-Index 0.5 quantile,0.6735264525828478,0.6315248545787715,0.60586309524084,0.6574469899701144,0.6479947133087087
Brier Score 0.5 quantile,0.18554013960486507,0.19086698090375287,0.21117366526359868,0.1926520767220193,0.19207354665720422
ROC AUC 0.5 quantile,0.6899914076595436,0.6380790236960693,0.63380623948453,0.6990575469363363,0.6754909196247726
C-Index 0.75 quantile,0.6626001013064358,0.6448100574349652,0.6103282487061168,0.6582617130589787,0.6399253982986081
Brier Score 0.75 quantile,0.22684668675023537,0.22071637864136268,0.22877163532633785,0.21881082098330984,0.22050569379924528
ROC AUC 0.75 quantile,0.7056400895180281,0.6889881602857674,0.6537500441589108,0.7074336900005456,0.6811977952069663
