,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7069884821886455,0.7069173308923266,0.6373356427183576,0.7109565474853683,0.7372663553845903
Brier Score 0.25 quantile,0.1256548317786671,0.11107242069653973,0.13326107501596648,0.11434822173387629,0.10579587032933528
ROC AUC 0.25 quantile,0.7194484445554109,0.7266282112995519,0.6465080794530391,0.7268781689216737,0.7447281190047051
C-Index 0.5 quantile,0.6738238036215995,0.6367885491610209,0.617054683313077,0.6646528644623106,0.6640658656010249
Brier Score 0.5 quantile,0.2070807411196395,0.19323909369230974,0.21171122206667864,0.20242398128346023,0.19529768552498566
ROC AUC 0.5 quantile,0.6834676737324819,0.641926584764184,0.6416322661871009,0.6961447620588926,0.6768167312975003
C-Index 0.75 quantile,0.6640512568651414,0.6323077575579081,0.5914349527842234,0.6540414801565503,0.6053046386960619
Brier Score 0.75 quantile,0.2672034304440969,0.22605681173050143,0.23745910619962357,0.25325177778819785,0.23566577543032408
ROC AUC 0.75 quantile,0.7015743607880649,0.6809951710456495,0.6290172170257688,0.7025697705117809,0.6107494500596822
