,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7871161642013733,0.788913072210316,0.7880985137715397,0.8067947764212257,0.7932183352754397
Brier Score 0.25 quantile,0.05914416773957833,0.062477609752435694,0.058311944237105756,0.057697863318042525,0.05216359096869069
ROC AUC 0.25 quantile,0.7997479714541589,0.797672586530501,0.8008431697001891,0.8197784389938803,0.8044741237637809
C-Index 0.5 quantile,0.8028914830708949,0.7764033370665522,0.7809555003326585,0.7984960613991321,0.8179777063663696
Brier Score 0.5 quantile,0.10091632045617166,0.1009351238998456,0.09525938902495487,0.0999746671337404,0.09101482996040496
ROC AUC 0.5 quantile,0.8279331592077321,0.7988170837600626,0.8008898589298807,0.8206677840330001,0.8437109135064407
C-Index 0.75 quantile,0.8061870605038537,0.7813912517268736,0.7804622204883458,0.7965340480603352,0.7947195538387644
Brier Score 0.75 quantile,0.12242884540712168,0.12358188833103002,0.12147890907250053,0.12147097034748776,0.12672025649263396
ROC AUC 0.75 quantile,0.8447327568038692,0.8156528648414918,0.8136929125313336,0.8324892743518402,0.8262018673744076
